date,LOC_cabinet,LOC_drawer,LOC_tray,LOC_locality,LOC_unit,LOC_subunit,LOC_age,minutesPerIDRehouse,minutesPerCount,minutesPerPaint,minutesPerCatalog,minutesPerLabels,minutesPerNumber,minutesPerTotal,lotsProcessed,lotsRehoused,lotsIdentified,lotsReidentified
2018-08-08,183,11,1 of 2,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",1.8,NA,0.6,0.7,0.2,0.5,3.8,25,50,0,0
2018-08-08,183,11,2 of 2,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",1.7,NA,1.7,1.1,0.3,0.8,5.6,18,36,0,0
2018-08-08,183,12,1 of 3,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",1,NA,1,0.8,0.3,0.5,3.6,31,53,0,0
2018-08-08,183,12,2 of 3,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",1.5,NA,0.5,1,0.6,0.5,4.1,20,39,0,0
2018-08-08,183,12,3 of 3,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",1.7,NA,0.6,1.1,0.3,0.6,4.3,18,17,0,0
2018-02-21,199,05,1 of 3,"5327, 4966, 4993",Ladd,,Turonian,2.6,NA,0.2,1,0.4,0.2,4.4,12,3,0,0
2018-02-21,199,05,2 of 3,4603,Ladd,,Turonian,2.5,NA,0.1,1.5,0.8,0.1,5,8,1,2,0
2017-09-13,199,06,1 of 3,24208,Ladd,Baker Canyon,Turonian,2.5,0.4,0.2,1,NA,0.4,4.5,24,20,0,5
2017-09-08,199,06,1 of 3,24235,Ladd,Baker Canyon,Turonian,3.9,0.4,0.4,0.9,NA,0.5,6.1,42,28,7,8
2017-09-13,199,06,2 of 3,24208,Ladd,Baker Canyon,Turonian,2.5,0.6,0.6,1.2,NA,0.6,5.5,24,20,0,5
2017-09-14,199,06,3 of 3,24208,Ladd,Baker Canyon,Turonian,4.3,2.1,1.1,1.1,NA,1.1,9.7,14,10,1,2
2017-09-14,199,06,3 of 3,24208,Ladd,Baker Canyon,Turonian,4.3,1.6,0.4,1.7,NA,0.7,8.7,14,10,1,2
2018-02-23,199,07,1 of 3,16857,Ladd,,Turonian,1.2,NA,0.1,1.2,0.6,0.3,3.4,26,13,5,1
2018-02-23,199,07,2 of 3,16857,Ladd,,Turonian,1.1,NA,0.1,0.8,0.4,0.2,2.6,27,7,8,2
2018-02-24,199,08,1 of 1,"24063, 24064, 24065, 24066, 24067, 24068, 16502",Ladd,,"Turonian, Campanian",1.4,NA,0.2,1.5,0.6,0.3,4,32,18,0,0
2018-02-24,199,09,1 of 3,"22951, 22953",Ladd,,Turonian,1.2,NA,0.1,0.8,0.6,0.6,3.3,26,14,3,0
2018-02-24,199,09,2 of 3,22950,Ladd,,Turonian,1.7,NA,0.1,1.3,0.4,0.2,3.7,28,24,0,1
2018-02-24,199,09,3 of 3,22950,Ladd,,Turonian,1.4,NA,0,1.6,0.6,0,3.6,21,6,8,0
