date,LOC_cabinet,LOC_drawer,LOC_tray,LOC_locality,LOC_unit,LOC_subunit,LOC_age,TIME_idRehouse,TIME_count,TIME_paint,TIME_catalog,TIME_labels,TIME_number,LOTS_st,LOTS_tx,LOTS_uncataloged,ID_genusChange,ID_speciesChange,ID_sp,ID_rank-up,ID_rank-down,ID_new,REHOUSE_box3x1.5,REHOUSE_box3x3,REHOUSE_box3x4,REHOUSE_box3x6,REHOUSE_box4x6,REHOUSE_box6x6,REHOUSE_plastic3x3,REHOUSE_plastic6x6,REHOUSE_vial7dr,REHOUSE_vial3dr,REHOUSE_vial1dr
2018-03-07,200,02,3 of 3,4588,Ladd,,"Turonian, Coniacian",0.17,,0.03,0.1,0.25,0.017,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
2018-03-08,200,03,1 of 3,"8176, 8177",Ladd,,"Turonian, Campanian",0.5,,0.09,0.25,0.16,0.14,18,3,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,3,3,5
2018-03-08,200,03,2 of 3,8179,Ladd,,"Turonian, Campanian",0.5,,0.03,0.4,0.17,0.03,24,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,2,4,2
2018-03-08,200,03,3 of 3,"8178, 30123",Ladd,,"Turonian, Campanian",0.53,,0.16,0.33,0.25,0.17,31,3,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,9,6,8
2018-03-09,200,04,1 of 3,8169,Ladd,,Turonian,0.8,,0.04,0.52,0.45,0.15,32,4,0,0,0,0,1,0,8,2,1,0,0,0,0,0,0,9,4,1
2018-03-09,200,04,2 of 3,26981,Ladd,,Turonian,0.2,,0.04,0.18,0.07,0.03,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2,1
2018-03-09,200,04,3 of 3,8168,Ladd,,Turonian,0.33,,0.04,0.33,0.25,0.15,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,7
2018-03-10,200,05,1 of 3,1250,Ladd,,Turonian,0.54,,0.03,0.32,0.25,0.08,32,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,3,1,1
2018-03-10,200,05,2 of 3,,Ladd,,Turonian,1.0,,0.03,0.45,0.25,0.06,39,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,6,3,1
2018-03-10,200,05,3 of 3,"4950, 1250",Ladd,,Turonian,0.5,,0.03,0.33,0.25,0.04,23,2,3,0,0,0,0,2,9,1,1,0,0,0,0,0,0,0,2,1
2017-09-01,200,06,1 of 4,15737,Ladd,Baker Canyon,Turonian,1.75,0.17,0.35,0.4,0.19,0.08,21,4,3,1,0,4,4,0,2,14,5,0,1,1,2,0,0,4,0,2
2017-09-01,200,06,2 of 4,15737,Ladd,Baker Canyon,Turonian,1.75,0.25,0.25,0.5,0.3,0.25,21,4,0,1,0,4,4,0,2,14,5,0,1,1,2,0,0,4,0,2
2017-09-01,200,06,3 of 4,15738,Ladd,Baker Canyon,Turonian,1.25,0.5,0.25,0.5,0.3,0.25,21,1,0,4,0,0,0,0,0,11,3,2,3,0,1,0,0,3,1,1
2017-09-01,200,06,4 of 4,15738,Ladd,Baker Canyon,Turonian,1.25,0.4,0.08,0.5,0.23,0.07,21,1,3,4,0,0,0,0,0,11,3,2,3,0,1,0,0,3,1,1
2018-03-13,200,07,1 of 3,"17091, 17092",Ladd,,"Turonian, Coniacian, Campanian",0.25,,,0.09,0.07,,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
2018-03-13,200,07,2 of 3,15683,Ladd,,"Turonian, Coniacian, Campanian",0.33,,,0.33,0.13,,18,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0
2018-03-13,200,07,3 of 3,15894,Ladd,,"Turonian, Coniacian, Campanian",0.35,,,0.16,0.16,,19,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
2018-03-21,200,08,1 of 3,8198,Ladd,,Turonian,0.33,,0.016,0.25,0.15,0.03,11,2,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,5,1,1
2018-03-21,200,08,2 of 3,8198,Ladd,,Turonian,0.6,,0.08,0.45,0.31,0.25,33,0,0,0,0,0,1,0,4,0,3,1,0,1,0,0,0,7,4,3
2018-03-21,200,08,3 of 3,"8199, 8200",Ladd,,Turonian,0.4,,0.08,0.17,0.17,0.07,21,1,1,0,0,0,1,0,1,0,2,0,0,0,1,0,0,2,3,2
2018-03-22,200,09,1 of 3,"8187, 8190, 8193",Ladd,,Turonian,0.4,,0.08,0.19,,0.017,21,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,2,2
2018-03-22,200,09,2 of 3,8180,Ladd,,Turonian,0.4,,0.08,0.23,0.21,0.25,24,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,5,6,4
2018-03-22,200,09,3 of 3,8194,Ladd,,Turonian,0.5,,0.08,0.2,0.23,0.03,20,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,4,1
2018-03-22,200,10,1 of 2,8195,Ladd,,Turonian,0.33,,0.08,0.18,0.16,0.08,19,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,2,1
2018-03-22,200,10,2 of 2,8195,Ladd,,Turonian,0.15,,,0.07,0.07,,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2018-03-22,200,11,1 of 2,8197,Ladd,,Turonian,0.4,,0.08,0.35,0.15,0.03,22,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,7,1,0
2018-03-22,200,11,2 of 2,8197,Ladd,,Turonian,0.33,,0.08,0.16,0.09,0.017,10,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0
2018-03-27,200,12,1 of 2,10079,Ladd,,Turonian,0.08,0.016,0.08,0.08,0.03,0.017,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-27,200,12,2 of 2,10079,Ladd,,Turonian,0.75,,0.04,0.6,0.19,0.07,28,2,0,0,0,0,1,1,4,1,2,0,1,1,0,0,0,10,2,3
2018-03-27,201,01,1 of 3,16860,Ladd,,Turonian,0.6,,0.017,0.38,0.16,0.017,25,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,1,0,1
2018-03-27,201,01,2 of 3,16860,Ladd,,Turonian,0.33,,0.03,0.38,0.17,0.03,24,0,0,0,0,0,2,3,7,0,0,0,0,1,0,0,0,2,2,1
2018-03-27,201,01,3 of 3,16860,Ladd,,Turonian,0.4,,,0.5,0.2,,16,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2018-03-29,201,02,1 of 3,"10109, 31450",Ladd,,Turonian,0.5,,0.03,0.5,0.16,0.07,19,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,5,2,1
2018-03-29,201,02,2 of 3,"11791,10111, 10112",Ladd,,Turonian,0.6,,0.08,0.56,0.23,0.08,37,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,13,3,2
2018-03-29,201,02,3 of 3,10108,Ladd,,Turonian,0.5,,0.03,0.3,0.25,0.03,33,0,0,0,0,0,1,0,20,1,0,0,1,0,0,0,0,5,0,0
2018-03-30,201,03,1 of 3,10889,Ladd,,Turonian,0.33,,0.03,0.19,0.2,0.03,18,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,2,4,3
