date,LOC_cabinet,LOC_drawer,LOC_tray,LOC_locality,LOC_unit,LOC_subunit,LOC_age,minutesTotal,minutesPerIDRehouse,minutesPerCount,minutesPerPaint,minutesPerCatalog,minutesPerLabels,minutesPerNumber,lotsProcessed,lotsRehoused,lotsIdentified,lotsReidentified
2018-09-19,223,07,2 of 3,"15777, 23791, 26935",Redding,,"Turonian, Coniacian, Santonian",1.57,1,NA,0.2,0.6,NA,1.3,31,16,31,0
2018-09-19,223,07,3 of 3,"15782, 24330",Redding,,"Turonian, Coniacian, Santonian",0.29,1.5,NA,0.3,0.8,0.3,NA,6,1,6,0
2018-09-19,223,07,3 of 3,"15782, 24330",Redding,,"Turonian, Coniacian, Santonian",0.29,1.5,NA,0.3,0.8,0.3,NA,6,1,6,0
2018-10-21,223,08,1 of 4,"10866, 10900",Redding,,"Turonian, Santonian",2.73,0.9,NA,0.7,1.2,1.1,NA,42,30,36,0
2018-09-19,223,08,2 of 4,"15783, 24077",Redding,,"Turonian, Santonian",1.38,1.2,NA,NA,0.9,0.3,0.5,28,24,26,0
2018-10-19,223,08,3 of 4,10820,Redding,,"Turonian, Santonian",0.52,1.5,NA,0.5,0.7,0.3,0.1,10,6,9,0
2018-09-20,223,08,4 of 4,"24323, 24322",Redding,,"Turonian, Santonian",1.45,1.5,NA,0.9,0.9,0.2,0.3,23,18,22,0
2018-09-21,223,10,1 of 2,10796,Redding,,"Turonian, Santonian",1.3599999999999999,1.5,NA,0.3,1.3,NA,NA,27,17,21,1
2018-09-26,223,10,1 of 2,24336,Redding,,"Turonian, Santonian",1.78,0.7,NA,0,1,0.7,NA,46,5,45,0
2018-09-21,223,10,2 of 2,24217,Redding,,"Turonian, Santonian",1.65,1.1,NA,0.2,0.7,0.2,0.3,40,30,31,0
2018-09-26,223,10,2 of 2,24336,Redding,,"Turonian, Santonian",1.83,1.2,NA,0.1,0.7,0.1,0.1,51,11,43,8
2018-09-21,223,11,1 of 2,10796,Redding,,Santonian,1.5899999999999999,1,NA,0.1,0.7,0.9,NA,35,7,33,0
2018-09-21,223,11,2 of 2,26015,Redding,,Santonian,0.43,0.8,NA,NA,0.6,0.3,NA,15,0,15,0
2018-09-27,223,12,1 of 3,10787,Redding,,"Coniacian, Santonian",1.26,0.9,NA,0.2,0.5,0.2,0.2,40,27,27,9
2018-09-26,223,12,2 of 3,10787,Redding,,"Coniacian, Santonian",2.03,0.9,NA,0.1,0.5,0.2,0.2,64,37,44,5
2018-09-27,223,12,3 of 3,10787,Redding,,"Coniacian, Santonian",0.48000000000000004,2.5,NA,NA,0.6,0.5,NA,8,2,2,6
2018-08-18,224,07,1 of 3,10797,Redding,,"Coniacian, Santonian",2,1.4,NA,0.2,0.7,0.3,0.2,42,32,33,3
2018-09-15,224,07,2 of 3,10788,Redding,,"Coniacian, Santonian",3.23,2,NA,1,1.8,0.4,0.4,34,27,11,15
2018-08-15,224,07,3 of 3,10786,Redding,,"Coniacian, Santonian",2.6,1.1,NA,0.7,1.4,0.1,0.3,42,44,13,15
2018-09-11,224,08,1 of 4,24106,Redding,,"Coniacian, Santonian",2.45,1.1,NA,0.9,1.8,0.2,0.5,33,31,11,1
2018-09-05,224,08,2 of 4,10796,Redding,,"Coniacian, Santonian",1.14,1,NA,0.4,1.7,NA,0.2,20,15,16,1
2018-09-04,224,08,3 of 4,"24106, 24107",Redding,,"Coniacian, Santonian",1.9200000000000002,2.1,NA,NA,0.9,0.2,1.3,26,22,24,1
2018-09-11,224,08,4 of 4,24106,Redding,,"Coniacian, Santonian",1.41,1.8,NA,0.8,1.6,0.3,NA,19,15,15,0
2018-09-11,224,09,1 of 3,10795,Redding,,"Turonian, Coniacian, Santonian",2.15,1.5,NA,0.5,2,NA,0.3,30,25,28,0
2018-09-04,224,09,1 of 4,10794,Redding,,"Turonian, Coniacian, Santonian",1.8800000000000001,1.7,NA,0.3,0.9,0.2,0.5,31,27,20,3
2018-09-12,224,09,2 of 3,10792,Redding,,"Turonian, Coniacian, Santonian",2.35,2,NA,0.4,1,0.3,0.4,34,29,25,2
2018-10-12,224,09,3 of 3,"10793, 10845",Redding,,"Turonian, Coniacian, Santonian",1.87,1.6,NA,0.5,1,0.2,0.5,29,25,27,0
2018-09-13,224,10,1 of 3,25390,Redding,,"Turonian, Santonian",2.6999999999999997,1,NA,NA,1.7,0.4,0.1,51,23,51,0
2018-09-18,224,10,1 of 3,25390,Redding,,"Turonian, Santonian",3.18,2,NA,0.7,1,0.4,0.2,46,35,45,0
2018-09-12,224,10,3 of 3,25390,Redding,,"Turonian, Santonian",0.9,1,NA,NA,0.7,0.1,NA,29,0,29,0
2018-09-18,224,11,1 of 4,10801,Redding,,"Turonian, Santonian",1.28,39.6,NA,15,22.2,NA,NA,1,27,16,6
2018-09-18,224,11,2 of 4,10798,Redding,,"Turonian, Santonian",2.22,1.6,NA,0.5,1,0.8,0.3,32,25,11,13
2018-10-18,224,11,2 of 4,10798,Redding,,"Turonian, Santonian",2.22,1.6,NA,0.5,1,0.8,0.3,32,25,11,13
2018-09-18,224,11,3 of 4,"10799, 10800",Redding,,"Turonian, Santonian",1.85,1.5,NA,0.5,0.9,0.3,0.5,30,25,8,17
2018-09-18,224,11,4 of 4,"10802, 10804",Redding,,"Turonian, Santonian",1.33,1.2,NA,0.3,1,0.3,0.3,26,18,11,10
2018-10-18,224,11,4 of 4,"10802, 10804",Redding,,"Turonian, Santonian",1.33,1.2,NA,0.3,1,0.3,0.3,26,18,11,10
2018-09-19,224,12,1 of 4,"24220, 24221",Redding,,"Turonian, Santonian",2.4,1.8,NA,0.3,1.4,0.9,NA,33,17,27,3
2018-09-19,224,12,2 of 4,10805,Redding,,"Turonian, Santonian",2.19,1.4,NA,1,1.2,1.1,NA,28,23,16,6
